City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,holualoa,19.6228,-155.9522,23.64,89,85,1.83,US,1724825382
1,port-aux-francais,-49.35,70.2167,5.4,97,100,13.8,TF,1724825384
2,waitangi,-43.9535,-176.5597,11.01,96,100,4.92,NZ,1724825385
3,puerto natales,-51.7236,-72.4875,3.84,82,91,6.39,CL,1724825386
4,sena madureira,-9.0656,-68.6569,20.93,57,1,0.49,BR,1724825387
5,mozarlandia,-14.7447,-50.5706,25.56,30,0,3.85,BR,1724825388
6,port elizabeth,-33.918,25.5701,11.29,64,77,5.36,ZA,1724825390
7,kudahuvadhoo,2.6708,72.8944,28.53,72,28,1.56,MV,1724825391
8,blackmans bay,-43.0167,147.3167,9.29,62,60,2.24,AU,1724825392
9,hawaiian paradise park,19.5933,-154.9731,23.73,94,75,2.57,US,1724825393
10,balkanabat,39.5108,54.3671,33.36,14,0,5.7,TM,1724825394
11,georgievka,49.3314,81.5761,22.28,30,5,5.38,KZ,1724825395
12,anadyr,64.75,177.4833,14.28,67,0,4.0,RU,1724825396
13,callao,-12.0667,-77.15,15.16,82,100,1.54,PE,1724825397
14,hilo,19.7297,-155.09,23.85,91,75,2.57,US,1724825399
15,ilulissat,69.2167,-51.1,4.01,87,100,0.0,GL,1724825400
16,adamstown,-25.066,-130.1015,19.02,63,83,3.71,PN,1724825401
17,west island,-12.1568,96.8225,28.99,70,75,7.2,CC,1724825402
18,flying fish cove,-10.4217,105.6791,26.82,73,100,7.2,CX,1724825403
19,vila do maio,15.1333,-23.2167,26.64,80,79,2.1,CV,1724825404
20,olonkinbyen,70.9221,-8.7187,3.87,80,0,1.36,SJ,1724825405
21,hadibu,12.65,54.0333,28.15,73,94,11.87,YE,1724825407
22,humahuaca,-23.2054,-65.3505,8.25,17,100,1.36,AR,1724825408
23,bredy,52.4153,60.3411,20.11,60,1,2.82,RU,1724825409
24,midvagur,62.0511,-7.1939,11.46,100,100,7.2,FO,1724825410
25,ushuaia,-54.8,-68.3,6.81,53,75,3.6,AR,1724825411
26,ungsang-nodongjagu,42.3578,130.4622,21.75,65,9,2.75,KP,1724825412
27,badger,64.8,-147.5333,13.95,80,75,0.0,US,1724825413
28,amahai,-3.3333,128.9167,24.81,90,100,3.29,ID,1724825415
29,hermanus,-34.4187,19.2345,6.0,69,100,9.05,ZA,1724825416
30,dryden,49.7833,-92.7503,14.17,67,100,2.79,CA,1724825417
31,labytnangi,66.6572,66.4183,20.48,52,50,5.29,RU,1724825418
